state_name,lead_day,valid_time,latitude,longitude,rfs,normal,deviation,temperature_C,r2,pressure_hPa,wind_speed,wind_direction,previous_error_mean,previous_bust_rate,bust_probability,stress_score,confidence,risk_reasons
Assam,1,2026-08-28,26.25,93.0,11.25,10.89,3.3057851239669365,24.550018,99.4,1002.6677,1.2893951,170.62224,8.89638727406199,0.15860068878013414,0.22668202477207652,30.063367230455974,MEDIUM CONFIDENCE,Elevated ML bust risk | Very high humidity
Assam,2,2026-08-29,26.25,93.0,0.375,10.89,-96.55647382920111,24.550018,95.8,1004.0326,0.14879036,299.17267,8.89638727406199,0.15860068878013414,0.04051562856677112,15.238949220906505,HIGH CONFIDENCE,Very high humidity
Assam,3,2026-08-30,26.25,93.0,8.4375,10.89,-22.520661157024797,24.514557,99.0,1002.8834,0.52866143,163.20943,8.89638727406199,0.15860068878013414,0.16955418862183935,25.847720254150943,HIGH CONFIDENCE,Very high humidity
Assam,4,2026-08-31,26.25,93.0,9.5,10.89,-12.764003673094587,24.348846,98.8,1002.892,1.0462362,109.42384,8.89638727406199,0.15860068878013414,0.21194496210425118,28.261615475712798,HIGH CONFIDENCE,Elevated ML bust risk | Very high humidity
Assam,5,2026-09-01,26.25,93.0,0.0,8.961666666666666,-100.0,23.411865,95.5,1005.60626,0.4387439,109.923584,8.89638727406199,0.15860068878013414,0.02904842506099903,14.591650260298042,HIGH CONFIDENCE,Very high humidity
Assam,6,2026-09-02,26.25,93.0,0.3125,8.961666666666666,-96.51292542309838,22.911346,93.2,1006.065,0.5024014,92.199554,8.89638727406199,0.15860068878013414,0.03832589772558599,14.618103308814462,HIGH CONFIDENCE,Very high humidity
Assam,7,2026-09-03,26.25,93.0,1.6875,8.961666666666666,-81.16979728473126,22.812103,97.6,1006.5277,0.90832233,92.99174,8.89638727406199,0.15860068878013414,0.037935895874435674,16.758004285168184,HIGH CONFIDENCE,Very high humidity
Assam,8,2026-09-04,26.25,93.0,4.1875,8.961666666666666,-53.27320066951832,23.27304,97.2,1007.9757,0.8087003,89.15954,8.89638727406199,0.15860068878013414,0.08987177817775613,20.375312184331197,HIGH CONFIDENCE,Very high humidity
Assam,9,2026-09-05,26.25,93.0,5.0,8.961666666666666,-44.20680676957411,23.483795,97.3,1008.4981,1.1405795,117.02258,8.89638727406199,0.15860068878013414,0.0883922101553839,20.995508037763944,HIGH CONFIDENCE,Very high humidity
Assam,10,2026-09-06,26.25,93.0,3.9375,8.961666666666666,-56.06286033103961,23.669983,97.6,1008.431,0.884525,116.30769,8.89638727406199,0.15860068878013414,0.08742184208530332,20.23528181319072,HIGH CONFIDENCE,Very high humidity
Bihar,1,2026-08-28,26.0,85.25,0.125,9.530645161290323,-98.68844136063632,29.950012,75.5,1000.1817,3.5948822,275.2324,6.67980409221797,0.10588664115181337,0.04097155536943032,9.969384660817616,HIGH CONFIDENCE,Weather conditions relatively stable
Bihar,2,2026-08-29,26.0,85.25,17.6875,9.530645161290323,85.58554746996107,27.350006,91.8,1000.27655,1.8631631,167.28506,6.67980409221797,0.10588664115181337,0.38061344040447814,38.17116530307304,MEDIUM CONFIDENCE,Elevated ML bust risk | Rainfall forecast well above normal | Very high humidity
